"sim_id","HIV_neg_female","HIV_neg_male","HIV_pos_female","HIV_pos_male","tb_mort_mse_total","hiv_prev_mse_male","hiv_prev_mse_female","hiv_prev_mse","max_perc_diff_male","max_perc_diff_female","b1_contact","b2_contact","hiv2_mort","hiv3_mort","hiv4_mort","tb_hiv1_mort","tb_hiv2_mort","tb_hiv3_mort","tb_hiv4_mort","norm_hiv_prev_mse","norm_tb_mort_mse","norm_hiv_prev_tb_mort_mse","tbmort_rank_total","tbmort_HIV_neg_male","tbmort_HIV_neg_female","tbmort_HIV_pos_male","tbmort_HIV_pos_female","hivprev_rank_total","hivprev_male","hivprev_female","hiv_tb_rank"
641,3829.23651655163,10511.7232137531,30448.2031395741,24576.3855504974,69365.5484203762,179984480.235912,35885251.9700142,215869732.205927,0.0376073891508599,0.0258186950759761,6,11,8,35,1.2,14,22,40,17,0.0204785638785056,0.0137530425428204,0.034231606421326,153,1486,1516,549,895,430,394,2669,2
642,3817.22182843588,10466.9182460061,31261.2976863311,26284.2020964078,71829.6398571809,180563164.069618,35141977.4654277,215705141.535045,0.0376160299740501,0.0254407203764362,6,11,8,35,1.2,14,22,40,20,0.0201334799783545,0.0171236361989272,0.0372571161772817,248,1458,1500,762,951,418,421,2611,9
657,3836.1718598324,10519.4420687143,30429.0334016995,24492.9415778632,69277.5889081095,181459871.990608,34049123.6193075,215508995.609915,0.0376261713321998,0.0248456328238952,6,11,8,35,1.5,14,22,40,17,0.0197220647558259,0.0136316263423464,0.0333536910981722,147,1494,1523,543,892,410,441,2525,1
658,3824.13790693309,10474.6340115502,31229.5708950271,26184.9368364511,71713.2796499614,182046324.387869,33334185.5248105,215380509.912679,0.0376348092696454,0.0244694671329737,6,11,8,35,1.5,14,22,40,20,0.0194524650695135,0.0169657818226281,0.0364182468921416,241,1459,1509,753,948,402,459,2453,6
2305,3674.28180228617,9551.91973594548,24268.9836200525,32808.4150469464,70303.6002052306,181533434.020603,35070032.8692148,216603466.889818,0.0377486515035433,0.0255528229977674,8,10,8,35,1.2,14,22,40,17,0.0220153278003864,0.0150431384947638,0.0370584662951502,190,1119,1199,1413,335,465,444,2605,8
2321,3682.15828002098,9561.32993701463,24243.4918405981,32712.2328848527,70199.2129424864,183015570.187489,33263349.5139787,216278919.701468,0.0377672708871147,0.0245822441874222,8,10,8,35,1.5,14,22,40,17,0.0213359044408333,0.0149000027763289,0.0362359072171622,179,1123,1215,1405,334,450,488,2443,5
3073,3606.27650839858,9769.50573082108,34631.1695547957,23980.0840569114,71987.0358509268,179618074.459012,36097980.4750625,215716054.934074,0.0375833130990994,0.025939571873329,9,9,8,35,1.2,14,22,40,17,0.0201563652907859,0.0173369564609609,0.0374933217517468,257,1214,1034,470,1181,419,390,2681,10
3089,3612.99788495146,9777.23670621069,34617.2733077469,23907.3750162253,71914.8829151343,181089954.1846,34251226.7964492,215341180.981049,0.0376019991365007,0.0249653107309121,9,9,8,35,1.5,14,22,40,17,0.0193699256655532,0.0172391958920363,0.0366091215575895,255,1217,1049,461,1180,400,431,2539,7
4737,3423.77505193767,8671.57034080983,26923.845555096,31738.0584810123,70757.2494288558,180039934.816967,35452934.121614,215492868.938581,0.0376895521256856,0.0258403330542489,11,8,8,35,1.2,14,22,40,17,0.019688230805205,0.0156639510311206,0.0353521818363256,206,630,612,1346,590,409,395,2633,4
4753,3431.44629976361,8681.06353097201,26904.1929198709,31653.0550290876,70669.757779694,181514593.538809,33620170.5900849,215134764.128894,0.0377079040844179,0.0248670674614737,11,8,8,35,1.5,14,22,40,17,0.018936596151597,0.0155443751911059,0.0344809713427029,203,637,626,1342,586,383,442,2490,3
