"sim_id","HIV_neg_female","HIV_neg_male","HIV_pos_female","HIV_pos_male","tb_mort_mse_total","hiv_prev_mse_male","hiv_prev_mse_female","hiv_prev_mse","max_perc_diff_male","max_perc_diff_female","b1_calib_id","b2_calib_id","mh2_calib_id","mh3_calib_id","mh4_calib_id","mtb_calib_id","mtbh2_calib_id","mtbh3_calib_id","mtbh4_calib_id","norm_hiv_prev_mse","norm_tb_mort_mse","norm_hiv_prev_tb_mort_mse","tbmort_rank_total","tbmort_HIV_neg_male","tbmort_HIV_neg_female","tbmort_HIV_pos_male","tbmort_HIV_pos_female","hivprev_rank_total","hivprev_male","hivprev_female","hiv_tb_rank"
634,3599.80280939303,7965.24095385688,26650.404261011,21752.0378736666,59967.4858979275,301888089.527211,13963693.7954125,315851783.322624,0.0474727684542649,0.0134773625453954,6,10.8,10,35,1.5,15,22,50,17,0.0761706339966781,0.00182437325772262,0.0779950072544007,5,438,485,69,311,731,768,27,5
635,3585.2063556194,7919.84275401443,26586.0529484344,22587.0039303001,60678.1059883683,302937991.284208,13742040.131539,316680031.415747,0.0474796915509884,0.0130444865407351,6,10.8,10,35,1.5,15,22,50,20,0.0785695683448358,0.00366244643775261,0.0822320147825884,9,424,466,117,307,767,822,3,9
636,3608.17866889609,7989.03439953337,26726.8700669612,21188.3648748015,59512.4480101922,301430063.674145,14110546.3987427,315540610.072888,0.0474677282023704,0.0137039069720273,6,10.8,10,35,1.5,15,22,50,15,0.0752685403834894,0.000641658484334042,0.0759101988678234,3,445,490,49,316,718,749,48,3
658,3592.76273054636,7959.82410247171,26663.4575659093,21803.107920467,60019.1523193944,299988193.592785,14603673.9036679,314591867.496453,0.0474553386673693,0.0144255379968267,6,10.8,10,35,1.2,15,22,50,17,0.0725153794787584,0.00195837829134796,0.0744737577701064,6,436,477,71,312,680,699,197,2
659,3578.22047802458,7914.48110516128,26607.5526181397,22648.0891415315,60748.343342857,301034951.544209,14347778.6845195,315382730.228729,0.0474623042218485,0.0139900440824121,6,10.8,10,35,1.2,15,22,50,20,0.0748106754245537,0.00384353485709899,0.0786542102816527,10,423,455,120,310,709,737,102,6
660,3601.12748275816,7983.61780430544,26734.9977209972,21233.038172361,59552.7811804219,299533090.008018,14766328.2294287,314299418.237446,0.0474502954271151,0.0146532158480282,6,10.8,10,35,1.2,15,22,50,15,0.0716658826523999,0.000746672931827799,0.0724125555842277,4,441,487,53,318,666,673,297,1
1882,3539.00582832651,7224.0508615958,22627.9160247754,26898.2372477748,60289.2099624725,303481730.595284,13980967.5862426,317462698.181527,0.047554347258655,0.0132124885496377,7.6,10,10,35,1.5,15,22,50,17,0.0808335999171329,0.00265787874657819,0.0834914786637111,7,304,402,498,113,801,843,30,11
1884,3547.84134446575,7250.92905417442,22303.926616798,26163.6043502763,59266.3013657145,303010160.501193,14125967.8679761,317136128.369169,0.0475491082726156,0.0134448583665951,7.6,10,10,35,1.5,15,22,50,15,0.0798892663422764,0,0.0798892663422764,1,311,424,416,94,787,825,51,7
1906,3531.17406588472,7217.48533997274,22645.2565674886,26957.7673531303,60351.6833264764,301578416.113825,14598354.0082673,316176770.122092,0.0475368449399313,0.0141589131596096,7.6,10,10,35,1.2,15,22,50,17,0.0771122989296376,0.00281947332905934,0.0799317722586969,8,303,384,500,115,745,754,194,8
1908,3539.99903575786,7244.36563598812,22315.4645874696,26215.8954764125,59315.7247356281,301109811.231772,14759522.073709,315869333.305481,0.0475316027264724,0.0143924472533701,7.6,10,10,35,1.2,15,22,50,15,0.0762214982895952,0.000128944283365346,0.0763504425729605,2,310,404,422,96,732,740,291,4
