"sim_id","HIV_neg_female","HIV_neg_male","HIV_pos_female","HIV_pos_male","tb_mort_mse_total","hiv_prev_mse_male","hiv_prev_mse_female","hiv_prev_mse","max_perc_diff_male","max_perc_diff_female","b1_contact","b2_contact","hiv2_mort","hiv3_mort","hiv4_mort","tb_hiv1_mort","tb_hiv2_mort","tb_hiv3_mort","tb_hiv4_mort","tbmort_rank_total","tbmort_HIV_neg_male","tbmort_HIV_neg_female","tbmort_HIV_pos_male","tbmort_HIV_pos_female"
513,4525.86568078222,15281.3625872673,80557.0898057926,18380.7133366265,118745.031410469,173702319.94686,38310306.404041,212012626.350901,0.0371384281221704,0.0268531961631477,6,10,8,35,1.2,14,22,40,17,425,615,566,7,649
525,3578.83329616946,9802.66633289253,50431.9947020933,17873.4495271188,81686.9438582741,186436734.103664,33530972.6112723,219967706.714936,0.0381948781824371,0.0250134903235451,6,10,8,35,1.2,17,30,40,17,163,241,192,3,458
529,4530.25066837928,15286.1530381172,80579.3797580046,18392.522755843,118788.306220344,174950701.180147,36517457.7509488,211468158.931096,0.0371571455006074,0.0259228848080598,6,10,8,35,1.5,14,22,40,17,427,616,568,8,650
541,3586.09822795694,9810.54740460802,50424.9681664977,17829.1226650233,81650.736464086,187961953.565742,31764197.2975126,219726150.863255,0.0382135300467079,0.0240338546017448,6,10,8,35,1.5,17,30,40,17,162,242,199,1,457
1417,4133.97708279598,10687.2665558172,51524.5859905796,17889.4756400484,84235.3052692412,177030777.803097,37267761.3745167,214298539.177614,0.0373550456751147,0.0263146630804526,7,10,8,35,1.2,17,22,40,17,197,335,443,4,478
1433,4144.66005109587,10700.6742793961,51519.5730392061,17834.1467389357,84199.0541086337,178487479.816204,35381999.8516301,213869479.667834,0.03737387591846,0.0253376252832208,7,10,8,35,1.5,17,22,40,17,196,336,447,2,477
2177,4075.2830946889,12885.9990590995,64909.9787483487,18052.8170695461,99924.0779716832,175881823.27215,38254144.0688712,214135967.341021,0.0372611002729148,0.0266751876331327,8,9,8,35,1.2,14,22,40,17,328,495,435,6,563
2185,3672.19866315887,9396.39507142097,73990.7069203649,18474.2508707323,105533.551525677,174670174.699902,38865939.0087546,213536113.708657,0.0371692246168029,0.0268765576109968,8,9,8,35,1.2,17,22,40,17,368,187,248,10,615
2193,4080.08897379637,12890.5987843413,64912.4113983718,18012.4875145279,99895.5866710373,177336809.95539,36325963.5981283,213662773.553518,0.0372801088205449,0.0256937328284454,8,9,8,35,1.5,14,22,40,17,327,496,436,5,564
2201,3681.44133190302,9407.87393274386,73991.7981816788,18438.946873986,105520.060320312,176115883.571478,36916789.0941846,213032672.665663,0.037188350556218,0.0258940103677489,8,9,8,35,1.5,17,22,40,17,367,190,251,9,616
